"id_entrega","tempo_entrega","status_entrega","valor_frete","custo_entrega","distancia_km","id_cliente","id_produto","id_motorista","id_tempo","id_regiao","id_regiao-2","cidade","estado","pais","id_produto-2","categoria","peso","tipo","id_tempo-2","dia","mes","trimestre","ano","id_motorista-2","nome","idade","experiencia"
4,1,"Aguardando","546.00","21.00","869.00",514,3,2,2,3,3,"Gonçalves do Sul","Amapá","México",3,"Alimentos","293.53","Não Perecível",2,10,7,"3",2023,2,"Vitor Gabriel Garcia",23,16
54,2,"Aguardando","829.00","68.00","926.00",514,3,2,2,3,3,"Gonçalves do Sul","Amapá","México",3,"Alimentos","293.53","Não Perecível",2,10,7,"3",2023,2,"Vitor Gabriel Garcia",23,16
55,2,"Em Trânsito","466.00","76.00","445.00",515,4,3,3,4,4,"Fogaça dos Dourados","Paraíba","Roménia",4,"Roupas","211.66","Não Perecível",3,17,3,"1",2021,3,"Eloah da Cruz",34,11
5,1,"Entregue","772.00","94.00","957.00",515,4,3,3,4,4,"Fogaça dos Dourados","Paraíba","Roménia",4,"Roupas","211.66","Não Perecível",3,17,3,"1",2021,3,"Eloah da Cruz",34,11
56,7,"Em Trânsito","998.00","39.00","998.00",516,5,4,4,5,5,"da Luz","Rio Grande do Norte","Guernsey",5,"Brinquedos","418.75","Perecível",4,7,12,"4",2021,4,"Davi Lucas Siqueira",19,21
6,4,"Aguardando","575.00","28.00","750.00",516,5,4,4,5,5,"da Luz","Rio Grande do Norte","Guernsey",5,"Brinquedos","418.75","Perecível",4,7,12,"4",2021,4,"Davi Lucas Siqueira",19,21
7,6,"Entregue","654.00","31.00","245.00",517,6,5,5,6,6,"Almeida Verde","São Paulo","Jersey",6,"Eletrônicos","552.88","Não Perecível",5,19,1,"1",2024,5,"Sra. Sabrina Cavalcanti",44,6
57,4,"Entregue","759.00","58.00","837.00",517,6,5,5,6,6,"Almeida Verde","São Paulo","Jersey",6,"Eletrônicos","552.88","Não Perecível",5,19,1,"1",2024,5,"Sra. Sabrina Cavalcanti",44,6
8,3,"Entregue","777.00","41.00","302.00",518,7,6,6,7,7,"Correia do Oeste","Distrito Federal","Aruba",7,"Eletrônicos","686.73","Não Perecível",6,1,6,"2",2024,6,"Daniela Azevedo",44,0
58,5,"Aguardando","208.00","22.00","633.00",518,7,6,6,7,7,"Correia do Oeste","Distrito Federal","Aruba",7,"Eletrônicos","686.73","Não Perecível",6,1,6,"2",2024,6,"Daniela Azevedo",44,0
59,1,"Aguardando","957.00","44.00","765.00",519,8,7,7,8,8,"Caldeira do Campo","Piauí","Senegal",8,"Alimentos","961.68","Não Perecível",7,20,6,"2",2024,7,"Daniela Câmara",53,33
9,7,"Aguardando","251.00","95.00","862.00",519,8,7,7,8,8,"Caldeira do Campo","Piauí","Senegal",8,"Alimentos","961.68","Não Perecível",7,20,6,"2",2024,7,"Daniela Câmara",53,33
60,3,"Aguardando","824.00","87.00","377.00",520,9,8,8,9,9,"Cunha da Serra","Pernambuco","Ilhas Virgens Britânicas",9,"Brinquedos","791.66","Perecível",8,3,11,"4",2020,8,"Isabel Marques",25,20
10,6,"Aguardando","984.00","82.00","767.00",520,9,8,8,9,9,"Cunha da Serra","Pernambuco","Ilhas Virgens Britânicas",9,"Brinquedos","791.66","Perecível",8,3,11,"4",2020,8,"Isabel Marques",25,20
61,5,"Entregue","254.00","88.00","220.00",521,10,9,9,10,10,"Cardoso","Roraima","Brasil",10,"Eletrônicos","862.92","Não Perecível",9,11,1,"1",2022,9,"Ravy Mendes",21,13
