"id_entrega","tempo_entrega","status_entrega","valor_frete","custo_entrega","distancia_km","id_cliente","id_produto","id_motorista","id_tempo","id_regiao","id_regiao-2","cidade","estado","pais","id_produto-2","categoria","peso","tipo","id_tempo-2","dia","mes","trimestre","ano","id_motorista-2","nome","idade","experiencia"
55,3,"Entregue","100.00","80.00","15.00",511,1202,1502,1,1,1,"Almeida","Bahia","Catar",1202,"Alimentos","405.16","Não Perecível",1,27,9,"3",2020,1502,"Cecilia Montenegro",28,37
5,3,"Entregue","100.00","80.00","15.00",511,1202,1502,1,1,1,"Almeida","Bahia","Catar",1202,"Alimentos","405.16","Não Perecível",1,27,9,"3",2020,1502,"Cecilia Montenegro",28,37
56,3,"Entregue","100.00","80.00","15.00",512,1,1503,2,2,2,"Guerra","Alagoas","Israel",1,"Brinquedos","463.39","Perecível",2,10,7,"3",2023,1503,"Lorenzo Vargas",59,27
6,3,"Entregue","100.00","80.00","15.00",512,1,1503,2,2,2,"Guerra","Alagoas","Israel",1,"Brinquedos","463.39","Perecível",2,10,7,"3",2023,1503,"Lorenzo Vargas",59,27
7,3,"Entregue","100.00","80.00","15.00",513,2,1504,3,3,3,"Gonçalves do Sul","Amapá","México",2,"Eletrônicos","339.23","Não Perecível",3,17,3,"1",2021,1504,"Sr. Enzo Gabriel Teixeira",40,12
57,3,"Entregue","100.00","80.00","15.00",513,2,1504,3,3,3,"Gonçalves do Sul","Amapá","México",2,"Eletrônicos","339.23","Não Perecível",3,17,3,"1",2021,1504,"Sr. Enzo Gabriel Teixeira",40,12
8,3,"Entregue","100.00","80.00","15.00",514,3,2,4,4,4,"Fogaça dos Dourados","Paraíba","Roménia",3,"Alimentos","293.53","Não Perecível",4,7,12,"4",2021,2,"Vitor Gabriel Garcia",23,16
58,3,"Entregue","100.00","80.00","15.00",514,3,2,4,4,4,"Fogaça dos Dourados","Paraíba","Roménia",3,"Alimentos","293.53","Não Perecível",4,7,12,"4",2021,2,"Vitor Gabriel Garcia",23,16
9,3,"Entregue","100.00","80.00","15.00",515,4,3,5,5,5,"da Luz","Rio Grande do Norte","Guernsey",4,"Roupas","211.66","Não Perecível",5,19,1,"1",2024,3,"Eloah da Cruz",34,11
59,3,"Entregue","100.00","80.00","15.00",515,4,3,5,5,5,"da Luz","Rio Grande do Norte","Guernsey",4,"Roupas","211.66","Não Perecível",5,19,1,"1",2024,3,"Eloah da Cruz",34,11
